State,YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
Alabama,2002,"Combined Heat and Power, Industrial Power",Other,4456.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Other Biomass,18401.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Other Gases,112541.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Petroleum,105087.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3518204.0
Alabama,2002,"Electric Generators, Electric Utilities",Coal,71630811.0
Alabama,2002,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8824787.0
Alabama,2002,"Electric Generators, Electric Utilities",Natural Gas,11242320.0
Alabama,2002,"Electric Generators, Electric Utilities",Nuclear,31856926.0
Alabama,2002,"Electric Generators, Electric Utilities",Petroleum,184379.0
Alabama,2002,"Electric Generators, Independent Power Producers",Natural Gas,2335263.0
Alabama,2002,"Electric Generators, Independent Power Producers",Petroleum,22148.0
Alabama,2002,Total Electric Power Industry,Coal,72041666.0
Alabama,2002,Total Electric Power Industry,Hydroelectric Conventional,8824787.0
Alabama,2002,Total Electric Power Industry,Natural Gas,15904065.0
Alabama,2002,Total Electric Power Industry,Nuclear,31856926.0
Alabama,2002,Total Electric Power Industry,Other,122745.0
Alabama,2002,Total Electric Power Industry,Other Biomass,18401.0
Alabama,2002,Total Electric Power Industry,Other Gases,112541.0
Alabama,2002,Total Electric Power Industry,Petroleum,312048.0
Alabama,2002,Total Electric Power Industry,Wood and Wood Derived Fuels,3727494.0
Alabama,2003,"Combined Heat and Power, Electric Power",Coal,219114.0
Alabama,2003,"Combined Heat and Power, Electric Power",Natural Gas,890846.0
Alabama,2003,"Combined Heat and Power, Electric Power",Petroleum,19043.0
Alabama,2003,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,181745.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Coal,238300.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Natural Gas,1233025.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Other,25543.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Other Biomass,23976.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Other Gases,170370.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Petroleum,107696.0
Alabama,2003,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3467138.0
Alabama,2003,"Electric Generators, Electric Utilities",Coal,76238978.0
Alabama,2003,"Electric Generators, Electric Utilities",Hydroelectric Conventional,12664867.0
Alabama,2003,"Electric Generators, Electric Utilities",Natural Gas,6069559.0
Alabama,2003,"Electric Generators, Electric Utilities",Nuclear,31676953.0
Alabama,2003,"Electric Generators, Electric Utilities",Petroleum,195361.0
Alabama,2003,"Electric Generators, Independent Power Producers",Natural Gas,4050165.0
Alabama,2003,"Electric Generators, Independent Power Producers",Petroleum,14542.0
Alabama,2003,Total Electric Power Industry,Coal,76696392.0
Alabama,2003,Total Electric Power Industry,Hydroelectric Conventional,12664867.0
Alabama,2003,Total Electric Power Industry,Natural Gas,12243599.0
Alabama,2003,Total Electric Power Industry,Nuclear,31676953.0
Alabama,2003,Total Electric Power Industry,Other,25543.0
Alabama,2003,Total Electric Power Industry,Other Biomass,23976.0
Alabama,2003,Total Electric Power Industry,Other Gases,170370.0
Alabama,2003,Total Electric Power Industry,Petroleum,336644.0
Alabama,2003,Total Electric Power Industry,Wood and Wood Derived Fuels,3648883.0
Alabama,2004,"Combined Heat and Power, Electric Power",Coal,143606.0
Alabama,2004,"Combined Heat and Power, Electric Power",Natural Gas,1119276.0
Alabama,2004,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,182795.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Coal,212292.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Natural Gas,1028505.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Other,27916.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Other Biomass,22876.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Other Gases,181937.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Petroleum,180354.0
Alabama,2004,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3573560.0
Alabama,2004,"Electric Generators, Electric Utilities",Coal,74475725.0
Alabama,2004,"Electric Generators, Electric Utilities",Hydroelectric Conventional,10626223.0
Alabama,2004,"Electric Generators, Electric Utilities",Natural Gas,7705601.0
Alabama,2004,"Electric Generators, Electric Utilities",Nuclear,31635789.0
Alabama,2004,"Electric Generators, Electric Utilities",Petroleum,111271.0
Alabama,2004,"Electric Generators, Independent Power Producers",Natural Gas,6123639.0
Alabama,2004,"Electric Generators, Independent Power Producers",Petroleum,3402.0
Alabama,2004,Total Electric Power Industry,Coal,74831625.0
Alabama,2004,Total Electric Power Industry,Hydroelectric Conventional,10626223.0
Alabama,2004,Total Electric Power Industry,Natural Gas,15977020.0
Alabama,2004,Total Electric Power Industry,Nuclear,31635789.0
Alabama,2004,Total Electric Power Industry,Other,27916.0
Alabama,2004,Total Electric Power Industry,Other Biomass,22876.0
Alabama,2004,Total Electric Power Industry,Other Gases,181937.0
Alabama,2004,Total Electric Power Industry,Petroleum,295027.0
Alabama,2004,Total Electric Power Industry,Wood and Wood Derived Fuels,3756357.0
Alabama,2005,"Combined Heat and Power, Electric Power",Coal,159047.0
Alabama,2005,"Combined Heat and Power, Electric Power",Natural Gas,1812680.0
Alabama,2005,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,201912.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Coal,226944.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Natural Gas,654855.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Other,22947.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Other Biomass,16413.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Other Gases,106864.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Petroleum,193546.0
Alabama,2005,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3428473.0
Alabama,2005,"Electric Generators, Electric Utilities",Coal,77742465.0
Alabama,2005,"Electric Generators, Electric Utilities",Hydroelectric Conventional,10144581.0
Alabama,2005,"Electric Generators, Electric Utilities",Natural Gas,6625355.0
Alabama,2005,"Electric Generators, Electric Utilities",Nuclear,31694223.0
Alabama,2005,"Electric Generators, Electric Utilities",Petroleum,97269.0
Alabama,2005,"Electric Generators, Independent Power Producers",Natural Gas,4776562.0
Alabama,2005,"Electric Generators, Independent Power Producers",Other,2144.0
Alabama,2005,"Electric Generators, Independent Power Producers",Petroleum,42294.0
Alabama,2005,Total Electric Power Industry,Coal,78128455.0
Alabama,2005,Total Electric Power Industry,Hydroelectric Conventional,10144581.0
Alabama,2005,Total Electric Power Industry,Natural Gas,13869452.0
Alabama,2005,Total Electric Power Industry,Nuclear,31694223.0
Alabama,2005,Total Electric Power Industry,Other,25093.0
Alabama,2005,Total Electric Power Industry,Other Biomass,16413.0
Alabama,2005,Total Electric Power Industry,Other Gases,106864.0
Alabama,2005,Total Electric Power Industry,Petroleum,333111.0
Alabama,2005,Total Electric Power Industry,Wood and Wood Derived Fuels,3630388.0
Alabama,2006,"Combined Heat and Power, Electric Power",Coal,206522.0
Alabama,2006,"Combined Heat and Power, Electric Power",Natural Gas,4270198.0
Alabama,2006,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,206460.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Coal,237908.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Natural Gas,587876.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Other,19185.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Other Biomass,19453.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Other Gases,131108.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Petroleum,89607.0
Alabama,2006,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3658551.0
Alabama,2006,"Electric Generators, Electric Utilities",Coal,77664238.0
Alabama,2006,"Electric Generators, Electric Utilities",Hydroelectric Conventional,7251786.0
Alabama,2006,"Electric Generators, Electric Utilities",Natural Gas,7450173.0
Alabama,2006,"Electric Generators, Electric Utilities",Nuclear,31911096.0
Alabama,2006,"Electric Generators, Electric Utilities",Petroleum,87887.0
Alabama,2006,"Electric Generators, Independent Power Producers",Natural Gas,7098975.0
Alabama,2006,"Electric Generators, Independent Power Producers",Other,1747.0
Alabama,2006,"Electric Generators, Independent Power Producers",Petroleum,2673.0
Alabama,2006,Total Electric Power Industry,Coal,78108668.0
Alabama,2006,Total Electric Power Industry,Hydroelectric Conventional,7251786.0
Alabama,2006,Total Electric Power Industry,Natural Gas,19407222.0
Alabama,2006,Total Electric Power Industry,Nuclear,31911096.0
Alabama,2006,Total Electric Power Industry,Other,20934.0
Alabama,2006,Total Electric Power Industry,Other Biomass,19453.0
Alabama,2006,Total Electric Power Industry,Other Gases,131108.0
Alabama,2006,Total Electric Power Industry,Petroleum,180167.0
Alabama,2006,Total Electric Power Industry,Wood and Wood Derived Fuels,3865011.0
Alabama,2007,"Combined Heat and Power, Electric Power",Coal,192100.0
Alabama,2007,"Combined Heat and Power, Electric Power",Natural Gas,5303745.0
Alabama,2007,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,209226.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Coal,226215.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Natural Gas,566653.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Other,3583.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Other Biomass,16738.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Other Gases,178368.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Petroleum,80167.0
Alabama,2007,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3574654.0
Alabama,2007,"Electric Generators, Electric Utilities",Coal,77575448.0
Alabama,2007,"Electric Generators, Electric Utilities",Hydroelectric Conventional,4136113.0
Alabama,2007,"Electric Generators, Electric Utilities",Natural Gas,8162906.0
Alabama,2007,"Electric Generators, Electric Utilities",Nuclear,34325127.0
Alabama,2007,"Electric Generators, Electric Utilities",Other Biomass,0.0
Alabama,2007,"Electric Generators, Electric Utilities",Petroleum,73571.0
Alabama,2007,"Electric Generators, Independent Power Producers",Natural Gas,9198469.0
Alabama,2007,"Electric Generators, Independent Power Producers",Petroleum,3186.0
Alabama,2007,Total Electric Power Industry,Coal,77993760.0
Alabama,2007,Total Electric Power Industry,Hydroelectric Conventional,4136113.0
Alabama,2007,Total Electric Power Industry,Natural Gas,23231777.0
Alabama,2007,Total Electric Power Industry,Nuclear,34325127.0
Alabama,2007,Total Electric Power Industry,Other,3583.0
Alabama,2007,Total Electric Power Industry,Other Biomass,16738.0
Alabama,2007,Total Electric Power Industry,Other Gases,178368.0
Alabama,2007,Total Electric Power Industry,Petroleum,156923.0
Alabama,2007,Total Electric Power Industry,Wood and Wood Derived Fuels,3783884.0
Alabama,2008,"Combined Heat and Power, Electric Power",Coal,150910.0
Alabama,2008,"Combined Heat and Power, Electric Power",Natural Gas,2255420.0
Alabama,2008,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,163097.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Coal,173527.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Natural Gas,895392.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Other,8223.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Other Biomass,29816.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Other Gases,203739.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Petroleum,91210.0
Alabama,2008,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3160521.0
Alabama,2008,"Electric Generators, Electric Utilities",Coal,74280210.0
Alabama,2008,"Electric Generators, Electric Utilities",Hydroelectric Conventional,6136147.0
Alabama,2008,"Electric Generators, Electric Utilities",Natural Gas,8543211.0
Alabama,2008,"Electric Generators, Electric Utilities",Nuclear,38992641.0
Alabama,2008,"Electric Generators, Electric Utilities",Other Biomass,3882.0
Alabama,2008,"Electric Generators, Electric Utilities",Petroleum,98804.0
Alabama,2008,"Electric Generators, Independent Power Producers",Natural Gas,10668897.0
Alabama,2008,"Electric Generators, Independent Power Producers",Petroleum,14249.0
Alabama,2008,Total Electric Power Industry,Coal,74604649.0
Alabama,2008,Total Electric Power Industry,Hydroelectric Conventional,6136147.0
Alabama,2008,Total Electric Power Industry,Natural Gas,22362917.0
Alabama,2008,Total Electric Power Industry,Nuclear,38992641.0
Alabama,2008,Total Electric Power Industry,Other,8223.0
Alabama,2008,Total Electric Power Industry,Other Biomass,33698.0
Alabama,2008,Total Electric Power Industry,Other Gases,203739.0
Alabama,2008,Total Electric Power Industry,Petroleum,204264.0
Alabama,2008,Total Electric Power Industry,Wood and Wood Derived Fuels,3323615.0
Alabama,2009,"Combined Heat and Power, Electric Power",Coal,110222.0
Alabama,2009,"Combined Heat and Power, Electric Power",Natural Gas,4249661.0
Alabama,2009,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,245981.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Coal,415444.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Natural Gas,712441.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Other,374314.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Other Biomass,12433.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Other Gases,134729.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Petroleum,126960.0
Alabama,2009,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2789394.0
Alabama,2009,"Electric Generators, Electric Utilities",Coal,55083056.0
Alabama,2009,"Electric Generators, Electric Utilities",Hydroelectric Conventional,12535373.0
Alabama,2009,"Electric Generators, Electric Utilities",Natural Gas,11368420.0
Alabama,2009,"Electric Generators, Electric Utilities",Nuclear,39716204.0
Alabama,2009,"Electric Generators, Electric Utilities",Other Biomass,2050.0
Alabama,2009,"Electric Generators, Electric Utilities",Petroleum,76454.0
Alabama,2009,"Electric Generators, Independent Power Producers",Natural Gas,15286563.0
Alabama,2009,"Electric Generators, Independent Power Producers",Petroleum,15861.0
Alabama,2009,Total Electric Power Industry,Coal,55608724.0
Alabama,2009,Total Electric Power Industry,Hydroelectric Conventional,12535373.0
Alabama,2009,Total Electric Power Industry,Natural Gas,31617084.0
Alabama,2009,Total Electric Power Industry,Nuclear,39716204.0
Alabama,2009,Total Electric Power Industry,Other,374314.0
Alabama,2009,Total Electric Power Industry,Other Biomass,14481.0
Alabama,2009,Total Electric Power Industry,Other Gases,134729.0
Alabama,2009,Total Electric Power Industry,Petroleum,219275.0
Alabama,2009,Total Electric Power Industry,Wood and Wood Derived Fuels,3035375.0
Alabama,2010,"Combined Heat and Power, Electric Power",Coal,112834.0
Alabama,2010,"Combined Heat and Power, Electric Power",Natural Gas,3870359.0
Alabama,2010,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,259954.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Coal,435499.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Natural Gas,937441.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Other,366447.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Other Biomass,10343.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Other Gases,276725.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Petroleum,85898.0
Alabama,2010,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2105496.0
Alabama,2010,"Electric Generators, Electric Utilities",Coal,62502076.0
Alabama,2010,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8704254.0
Alabama,2010,"Electric Generators, Electric Utilities",Natural Gas,13519713.0
Alabama,2010,"Electric Generators, Electric Utilities",Nuclear,37940821.0
Alabama,2010,"Electric Generators, Electric Utilities",Other Biomass,1190.0
Alabama,2010,"Electric Generators, Electric Utilities",Petroleum,98436.0
Alabama,2010,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0.0
Alabama,2010,"Electric Generators, Independent Power Producers",Natural Gas,20907504.0
Alabama,2010,"Electric Generators, Independent Power Producers",Petroleum,15520.0
Alabama,2010,Total Electric Power Industry,Coal,63050411.0
Alabama,2010,Total Electric Power Industry,Hydroelectric Conventional,8704254.0
Alabama,2010,Total Electric Power Industry,Natural Gas,39235017.0
Alabama,2010,Total Electric Power Industry,Nuclear,37940821.0
Alabama,2010,Total Electric Power Industry,Other,366447.0
Alabama,2010,Total Electric Power Industry,Other Biomass,11532.0
Alabama,2010,Total Electric Power Industry,Other Gases,276725.0
Alabama,2010,Total Electric Power Industry,Petroleum,199854.0
Alabama,2010,Total Electric Power Industry,Wood and Wood Derived Fuels,2365453.0
Alabama,2011,"Combined Heat and Power, Electric Power",Coal,57876.94
Alabama,2011,"Combined Heat and Power, Electric Power",Natural Gas,3485537.85
Alabama,2011,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,230544.25
Alabama,2011,"Combined Heat and Power, Industrial Power",Coal,210543.08000000002
Alabama,2011,"Combined Heat and Power, Industrial Power",Natural Gas,817653.61
Alabama,2011,"Combined Heat and Power, Industrial Power",Other,382502.88
Alabama,2011,"Combined Heat and Power, Industrial Power",Other Biomass,8684.57
Alabama,2011,"Combined Heat and Power, Industrial Power",Other Gases,291534.1
Alabama,2011,"Combined Heat and Power, Industrial Power",Petroleum,19219.31
Alabama,2011,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2576219.35
Alabama,2011,"Electric Generators, Electric Utilities",Coal,56538933.03
Alabama,2011,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8883598.01
Alabama,2011,"Electric Generators, Electric Utilities",Natural Gas,13958757.57
Alabama,2011,"Electric Generators, Electric Utilities",Nuclear,39356122.0
Alabama,2011,"Electric Generators, Electric Utilities",Other Biomass,1213.74
Alabama,2011,"Electric Generators, Electric Utilities",Petroleum,96111.67
Alabama,2011,"Electric Generators, Independent Power Producers",Natural Gas,29419104.939999998
Alabama,2011,"Electric Generators, Independent Power Producers",Petroleum,5053.05
Alabama,2011,Total Electric Power Industry,Coal,56807353.03
Alabama,2011,Total Electric Power Industry,Hydroelectric Conventional,8883598.01
Alabama,2011,Total Electric Power Industry,Natural Gas,47681053.96
Alabama,2011,Total Electric Power Industry,Nuclear,39356122.0
Alabama,2011,Total Electric Power Industry,Other,382502.88
Alabama,2011,Total Electric Power Industry,Other Biomass,9898.3
Alabama,2011,Total Electric Power Industry,Other Gases,291534.1
Alabama,2011,Total Electric Power Industry,Petroleum,120384.05
Alabama,2011,Total Electric Power Industry,Wood and Wood Derived Fuels,2806763.6
Alabama,2012,"Combined Heat and Power, Electric Power",Coal,31790.870000000003
Alabama,2012,"Combined Heat and Power, Electric Power",Natural Gas,4171406.29
Alabama,2012,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,190171.83000000002
Alabama,2012,"Combined Heat and Power, Industrial Power",Coal,197188.86
Alabama,2012,"Combined Heat and Power, Industrial Power",Natural Gas,1025923.25
Alabama,2012,"Combined Heat and Power, Industrial Power",Other,226543.16
Alabama,2012,"Combined Heat and Power, Industrial Power",Other Biomass,7157.6900000000005
Alabama,2012,"Combined Heat and Power, Industrial Power",Other Gases,177652.16
Alabama,2012,"Combined Heat and Power, Industrial Power",Petroleum,34247.52
Alabama,2012,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2578593.07
Alabama,2012,"Electric Generators, Electric Utilities",Coal,45377940.06
Alabama,2012,"Electric Generators, Electric Utilities",Hydroelectric Conventional,7435223.02
Alabama,2012,"Electric Generators, Electric Utilities",Natural Gas,14696381.48
Alabama,2012,"Electric Generators, Electric Utilities",Nuclear,40841212.0
Alabama,2012,"Electric Generators, Electric Utilities",Other Biomass,631.38
Alabama,2012,"Electric Generators, Electric Utilities",Petroleum,73859.13
Alabama,2012,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0.0
Alabama,2012,"Electric Generators, Independent Power Producers",Natural Gas,35811289.46
Alabama,2012,"Electric Generators, Independent Power Producers",Other Biomass,0.0
Alabama,2012,"Electric Generators, Independent Power Producers",Petroleum,1476.57
Alabama,2012,Total Electric Power Industry,Coal,45606919.78
Alabama,2012,Total Electric Power Industry,Hydroelectric Conventional,7435223.02
Alabama,2012,Total Electric Power Industry,Natural Gas,55705000.45
Alabama,2012,Total Electric Power Industry,Nuclear,40841212.0
Alabama,2012,Total Electric Power Industry,Other,226543.16
Alabama,2012,Total Electric Power Industry,Other Biomass,7789.07
Alabama,2012,Total Electric Power Industry,Other Gases,177652.16
Alabama,2012,Total Electric Power Industry,Petroleum,109583.18000000001
Alabama,2012,Total Electric Power Industry,Wood and Wood Derived Fuels,2768764.91
Alabama,2013,"Combined Heat and Power, Electric Power",Coal,0.0
Alabama,2013,"Combined Heat and Power, Electric Power",Natural Gas,3827608.03
Alabama,2013,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,187014.97999999998
Alabama,2013,"Combined Heat and Power, Industrial Power",Coal,190774.93
Alabama,2013,"Combined Heat and Power, Industrial Power",Natural Gas,993433.11
Alabama,2013,"Combined Heat and Power, Industrial Power",Other,3296.73
Alabama,2013,"Combined Heat and Power, Industrial Power",Other Biomass,9328.13
Alabama,2013,"Combined Heat and Power, Industrial Power",Other Gases,267735.57
Alabama,2013,"Combined Heat and Power, Industrial Power",Petroleum,15595.09
Alabama,2013,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2667373.32
Alabama,2013,"Electric Generators, Electric Utilities",Coal,46859708.99
Alabama,2013,"Electric Generators, Electric Utilities",Hydroelectric Conventional,12899178.01
Alabama,2013,"Electric Generators, Electric Utilities",Natural Gas,14394433.86
Alabama,2013,"Electric Generators, Electric Utilities",Nuclear,40816135.0
Alabama,2013,"Electric Generators, Electric Utilities",Petroleum,57565.17
Alabama,2013,"Electric Generators, Independent Power Producers",Natural Gas,27370910.26
Alabama,2013,"Electric Generators, Independent Power Producers",Other Biomass,11862.01
Alabama,2013,"Electric Generators, Independent Power Producers",Petroleum,970.75
Alabama,2013,Total Electric Power Industry,Coal,47050483.93
Alabama,2013,Total Electric Power Industry,Hydroelectric Conventional,12899178.01
Alabama,2013,Total Electric Power Industry,Natural Gas,46586385.25
Alabama,2013,Total Electric Power Industry,Nuclear,40816135.0
Alabama,2013,Total Electric Power Industry,Other,3296.73
Alabama,2013,Total Electric Power Industry,Other Biomass,21190.13
Alabama,2013,Total Electric Power Industry,Other Gases,267735.57
Alabama,2013,Total Electric Power Industry,Petroleum,74130.97
Alabama,2013,Total Electric Power Industry,Wood and Wood Derived Fuels,2854388.29
Alabama,2014,"Combined Heat and Power, Electric Power",Coal,0.0
Alabama,2014,"Combined Heat and Power, Electric Power",Natural Gas,3926632.35
Alabama,2014,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,199200.66
Alabama,2014,"Combined Heat and Power, Industrial Power",Coal,150616.46
Alabama,2014,"Combined Heat and Power, Industrial Power",Natural Gas,926762.41
Alabama,2014,"Combined Heat and Power, Industrial Power",Other,159.14999999999998
Alabama,2014,"Combined Heat and Power, Industrial Power",Other Biomass,695.0999999999999
Alabama,2014,"Combined Heat and Power, Industrial Power",Other Gases,205877.12
Alabama,2014,"Combined Heat and Power, Industrial Power",Petroleum,33294.8
Alabama,2014,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3083037.79
Alabama,2014,"Electric Generators, Electric Utilities",Coal,47155325.02
Alabama,2014,"Electric Generators, Electric Utilities",Hydroelectric Conventional,9684174.04
Alabama,2014,"Electric Generators, Electric Utilities",Natural Gas,14275105.93
Alabama,2014,"Electric Generators, Electric Utilities",Nuclear,41243689.0
Alabama,2014,"Electric Generators, Electric Utilities",Petroleum,70788.44
Alabama,2014,"Electric Generators, Independent Power Producers",Natural Gas,28984597.67
Alabama,2014,"Electric Generators, Independent Power Producers",Other Biomass,11673.05
Alabama,2014,"Electric Generators, Independent Power Producers",Petroleum,10934.08
Alabama,2014,Total Electric Power Industry,Coal,47305941.47
Alabama,2014,Total Electric Power Industry,Hydroelectric Conventional,9684174.04
Alabama,2014,Total Electric Power Industry,Natural Gas,48113098.35
Alabama,2014,Total Electric Power Industry,Nuclear,41243689.0
Alabama,2014,Total Electric Power Industry,Other,159.14999999999998
Alabama,2014,Total Electric Power Industry,Other Biomass,12368.15
Alabama,2014,Total Electric Power Industry,Other Gases,205877.12
Alabama,2014,Total Electric Power Industry,Petroleum,115017.31999999999
Alabama,2014,Total Electric Power Industry,Wood and Wood Derived Fuels,3282238.47
Alabama,2015,"Combined Heat and Power, Electric Power",Coal,0.0
Alabama,2015,"Combined Heat and Power, Electric Power",Natural Gas,5120103.0
Alabama,2015,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,212101.0
Alabama,2015,"Combined Heat and Power, Industrial Power",Coal,99396.0
Alabama,2015,"Combined Heat and Power, Industrial Power",Natural Gas,1027170.0
Alabama,2015,"Combined Heat and Power, Industrial Power",Other,0.0
Alabama,2015,"Combined Heat and Power, Industrial Power",Other Biomass,0.0
Alabama,2015,"Combined Heat and Power, Industrial Power",Other Gases,35863.0
