State,YEAR,TYPE OF PRODUCER,GENERATION (Megawatthours)
Alabama,2011,"Electric Generators, Independent Power Producers",29424158.009999998
Alabama,2011,Total Electric Power Industry,156339209.82
Alabama,2012,"Combined Heat and Power, Electric Power",4393369.0
Alabama,2012,"Combined Heat and Power, Industrial Power",4247305.71
Alabama,2012,"Electric Generators, Electric Utilities",108425247.0
Alabama,2012,"Electric Generators, Independent Power Producers",35812766.019999996
Alabama,2012,Total Electric Power Industry,152878687.69
Alabama,2013,"Combined Heat and Power, Electric Power",4014623.0
Alabama,2013,"Combined Heat and Power, Industrial Power",4147536.86
Alabama,2013,"Electric Generators, Electric Utilities",115027021.00999999
Alabama,2013,"Electric Generators, Independent Power Producers",27383743.01
Alabama,2013,Total Electric Power Industry,150572923.86
Alabama,2014,"Combined Heat and Power, Electric Power",4125833.0
Alabama,2014,"Combined Heat and Power, Industrial Power",4400442.8
Alabama,2014,"Electric Generators, Electric Utilities",112429082.43
Alabama,2014,"Electric Generators, Independent Power Producers",29007204.77
Alabama,2014,Total Electric Power Industry,149962562.96
Alabama,2015,"Combined Heat and Power, Electric Power",5332204.0
Alabama,2015,"Combined Heat and Power, Industrial Power",4216915.0
Alabama,2015,"Electric Generators, Electric Utilities",107868476.0
Alabama,2015,"Electric Generators, Independent Power Producers",35059829.0
Alabama,2015,Total Electric Power Industry,152477426.0
Alabama,2016,"Combined Heat and Power, Electric Power",4506703.0
Alabama,2016,"Combined Heat and Power, Industrial Power",4255021.0
Alabama,2016,"Electric Generators, Electric Utilities",97991205.0
Alabama,2016,"Electric Generators, Independent Power Producers",35632172.0
Alabama,2016,Total Electric Power Industry,142385099.0
Alabama,2017,"Combined Heat and Power, Electric Power",4245625.0
Alabama,2017,"Combined Heat and Power, Industrial Power",4437373.0
Alabama,2017,"Electric Generators, Electric Utilities",101709380.0
Alabama,2017,"Electric Generators, Independent Power Producers",29571871.0
Alabama,2017,Total Electric Power Industry,139964250.0
Alabama,2018,"Combined Heat and Power, Electric Power",4864301.0
Alabama,2018,"Combined Heat and Power, Industrial Power",4622077.0
Alabama,2018,"Electric Generators, Electric Utilities",102665413.0
Alabama,2018,"Electric Generators, Independent Power Producers",32906204.0
Alabama,2018,Total Electric Power Industry,145057993.0
Alabama,2019,"Combined Heat and Power, Electric Power",3157136.0
Alabama,2019,"Combined Heat and Power, Industrial Power",4902592.0
Alabama,2019,"Electric Generators, Electric Utilities",102180493.0
Alabama,2019,"Electric Generators, Independent Power Producers",32439212.0
Alabama,2019,Total Electric Power Industry,142679431.0
Alabama,2020,"Combined Heat and Power, Electric Power",2848326.0
Alabama,2020,"Combined Heat and Power, Industrial Power",4788458.0
Alabama,2020,"Electric Generators, Electric Utilities",102352556.0
Alabama,2020,"Electric Generators, Independent Power Producers",27553364.0
Alabama,2020,Total Electric Power Industry,137542700.0
Alabama,2021,"Combined Heat and Power, Electric Power",4031284.0
Alabama,2021,"Combined Heat and Power, Industrial Power",4640626.0
Alabama,2021,"Electric Generators, Electric Utilities",107332202.0
Alabama,2021,"Electric Generators, Independent Power Producers",26951021.0
Alabama,2021,Total Electric Power Industry,142955138.0
Alabama,2022,"Combined Heat and Power, Electric Power",1946611.0
Alabama,2022,"Combined Heat and Power, Industrial Power",1850237.0
Alabama,2022,"Electric Generators, Electric Utilities",42047740.0
Alabama,2022,"Electric Generators, Independent Power Producers",12604655.0
Alabama,2022,Total Electric Power Industry,58449245.0
Alaska,2001,"Combined Heat and Power, Commercial Power",153355.0
Alaska,2001,"Combined Heat and Power, Electric Power",237305.0
Alaska,2001,"Combined Heat and Power, Industrial Power",936915.0
Alaska,2001,"Electric Generators, Electric Utilities",5416191.0
Alaska,2001,Total Electric Power Industry,6743766.0
Alaska,2002,"Combined Heat and Power, Commercial Power",156309.0
Alaska,2002,"Combined Heat and Power, Electric Power",243667.0
Alaska,2002,"Combined Heat and Power, Industrial Power",895356.0
Alaska,2002,"Electric Generators, Electric Utilities",5471990.0
Alaska,2002,"Electric Generators, Independent Power Producers",0.0
Alaska,2002,Total Electric Power Industry,6767322.0
Alaska,2003,"Combined Heat and Power, Commercial Power",229860.0
Alaska,2003,"Combined Heat and Power, Electric Power",162475.0
Alaska,2003,"Combined Heat and Power, Industrial Power",272933.0
Alaska,2003,"Electric Generators, Electric Utilities",5673463.0
Alaska,2003,Total Electric Power Industry,6338731.0
Alaska,2004,"Combined Heat and Power, Commercial Power",269105.0
Alaska,2004,"Combined Heat and Power, Electric Power",182144.0
Alaska,2004,"Combined Heat and Power, Industrial Power",209046.0
Alaska,2004,"Electric Generators, Electric Utilities",5866419.0
Alaska,2004,Total Electric Power Industry,6526717.0
Alaska,2005,"Combined Heat and Power, Commercial Power",245324.0
Alaska,2005,"Combined Heat and Power, Electric Power",173941.0
Alaska,2005,"Combined Heat and Power, Industrial Power",211245.0
Alaska,2005,"Electric Generators, Electric Utilities",5946148.0
Alaska,2005,Total Electric Power Industry,6576659.0
Alaska,2006,"Combined Heat and Power, Commercial Power",230543.0
Alaska,2006,"Combined Heat and Power, Electric Power",187374.0
Alaska,2006,"Combined Heat and Power, Industrial Power",187759.0
Alaska,2006,"Electric Generators, Electric Utilities",6068520.0
Alaska,2006,Total Electric Power Industry,6674196.0
Alaska,2007,"Combined Heat and Power, Commercial Power",237621.0
Alaska,2007,"Combined Heat and Power, Electric Power",210155.0
Alaska,2007,"Combined Heat and Power, Industrial Power",147404.0
Alaska,2007,"Electric Generators, Electric Utilities",6146076.0
Alaska,2007,"Electric Generators, Independent Power Producers",80131.0
Alaska,2007,Total Electric Power Industry,6821391.0
Alaska,2008,"Combined Heat and Power, Commercial Power",225096.0
Alaska,2008,"Combined Heat and Power, Electric Power",177108.0
Alaska,2008,"Combined Heat and Power, Industrial Power",110484.0
Alaska,2008,"Electric Generators, Electric Utilities",6262149.0
Alaska,2008,Total Electric Power Industry,6774834.0
Alaska,2009,"Combined Heat and Power, Commercial Power",216822.0
Alaska,2009,"Combined Heat and Power, Electric Power",209379.0
Alaska,2009,"Combined Heat and Power, Industrial Power",109200.0
Alaska,2009,"Electric Generators, Electric Utilities",6166760.0
Alaska,2009,Total Electric Power Industry,6702158.0
Alaska,2010,"Combined Heat and Power, Commercial Power",234387.0
Alaska,2010,"Combined Heat and Power, Electric Power",204196.0
Alaska,2010,"Combined Heat and Power, Industrial Power",115943.0
Alaska,2010,"Electric Generators, Electric Utilities",6205050.0
Alaska,2010,"Electric Generators, Independent Power Producers",0.0
Alaska,2010,Total Electric Power Industry,6759576.0
Alaska,2011,"Combined Heat and Power, Commercial Power",275338.4
Alaska,2011,"Combined Heat and Power, Electric Power",209150.0
Alaska,2011,"Combined Heat and Power, Industrial Power",112700.44
Alaska,2011,"Electric Generators, Electric Utilities",6273843.96
Alaska,2011,Total Electric Power Industry,6871032.8
Alaska,2012,"Combined Heat and Power, Commercial Power",277858.34
Alaska,2012,"Combined Heat and Power, Electric Power",201405.0
Alaska,2012,"Combined Heat and Power, Industrial Power",87229.62
Alaska,2012,"Electric Generators, Electric Utilities",6361801.55
Alaska,2012,"Electric Generators, Independent Power Producers",18124.62
Alaska,2012,Total Electric Power Industry,6946419.12
Alaska,2013,"Combined Heat and Power, Commercial Power",300144.33
Alaska,2013,"Combined Heat and Power, Electric Power",187843.0
Alaska,2013,"Combined Heat and Power, Industrial Power",110723.44
Alaska,2013,"Electric Generators, Electric Utilities",5851726.91
Alaska,2013,"Electric Generators, Independent Power Producers",46384.020000000004
Alaska,2013,Total Electric Power Industry,6496821.65
Alaska,2014,"Combined Heat and Power, Commercial Power",238597.99
Alaska,2014,"Combined Heat and Power, Electric Power",194990.44
Alaska,2014,"Combined Heat and Power, Industrial Power",103095.61
Alaska,2014,"Electric Generators, Electric Utilities",5563591.67
Alaska,2014,"Electric Generators, Independent Power Producers",48614.19
Alaska,2014,Total Electric Power Industry,6148889.88
Alaska,2015,"Combined Heat and Power, Commercial Power",164764.0
Alaska,2015,"Combined Heat and Power, Electric Power",198296.0
Alaska,2015,"Combined Heat and Power, Industrial Power",120889.0
Alaska,2015,"Electric Generators, Electric Utilities",5746429.0
Alaska,2015,"Electric Generators, Independent Power Producers",54561.0
Alaska,2015,Total Electric Power Industry,6284939.0
Alaska,2016,"Combined Heat and Power, Commercial Power",321729.0
Alaska,2016,"Combined Heat and Power, Electric Power",191982.0
Alaska,2016,"Combined Heat and Power, Industrial Power",111473.0
Alaska,2016,"Electric Generators, Electric Utilities",5649382.0
Alaska,2016,"Electric Generators, Independent Power Producers",60467.0
Alaska,2016,Total Electric Power Industry,6335035.0
Alaska,2017,"Combined Heat and Power, Commercial Power",335452.0
Alaska,2017,"Combined Heat and Power, Electric Power",180906.0
Alaska,2017,"Combined Heat and Power, Industrial Power",107856.0
Alaska,2017,"Electric Generators, Electric Utilities",5822929.0
Alaska,2017,"Electric Generators, Independent Power Producers",50322.0
Alaska,2017,Total Electric Power Industry,6497466.0
Alaska,2018,"Combined Heat and Power, Commercial Power",328027.0
Alaska,2018,"Combined Heat and Power, Electric Power",177819.0
Alaska,2018,"Combined Heat and Power, Industrial Power",110099.0
Alaska,2018,"Electric Generators, Electric Utilities",5575087.0
Alaska,2018,"Electric Generators, Independent Power Producers",56328.0
Alaska,2018,Total Electric Power Industry,6247360.0
Alaska,2019,"Combined Heat and Power, Commercial Power",264992.0
Alaska,2019,"Combined Heat and Power, Electric Power",186691.0
Alaska,2019,"Combined Heat and Power, Industrial Power",115742.0
Alaska,2019,"Electric Generators, Electric Utilities",5447446.0
Alaska,2019,"Electric Generators, Independent Power Producers",55972.0
Alaska,2019,Total Electric Power Industry,6070842.0
Alaska,2020,"Combined Heat and Power, Commercial Power",319886.0
Alaska,2020,"Combined Heat and Power, Electric Power",188212.0
Alaska,2020,"Combined Heat and Power, Industrial Power",117672.0
Alaska,2020,"Electric Generators, Electric Utilities",5596841.0
Alaska,2020,"Electric Generators, Independent Power Producers",53830.0
Alaska,2020,Total Electric Power Industry,6276441.0
Alaska,2021,"Combined Heat and Power, Commercial Power",350962.0
Alaska,2021,"Combined Heat and Power, Electric Power",199567.0
Alaska,2021,"Combined Heat and Power, Industrial Power",111166.0
Alaska,2021,"Electric Generators, Electric Utilities",5229885.0
Alaska,2021,"Electric Generators, Independent Power Producers",51947.0
Alaska,2021,Total Electric Power Industry,5943528.0
Alaska,2022,"Combined Heat and Power, Commercial Power",129054.0
Alaska,2022,"Combined Heat and Power, Electric Power",74278.0
Alaska,2022,"Combined Heat and Power, Industrial Power",49881.0
Alaska,2022,"Electric Generators, Electric Utilities",2066439.0
Alaska,2022,"Electric Generators, Independent Power Producers",26984.0
Alaska,2022,Total Electric Power Industry,2346635.0
Arizona,2001,"Combined Heat and Power, Commercial Power",22806.0
Arizona,2001,"Combined Heat and Power, Electric Power",458815.0
Arizona,2001,"Combined Heat and Power, Industrial Power",331912.0
Arizona,2001,"Electric Generators, Electric Utilities",85807868.0
Arizona,2001,"Electric Generators, Independent Power Producers",3289871.0
Arizona,2001,Total Electric Power Industry,89911272.0
Arizona,2002,"Combined Heat and Power, Commercial Power",18395.0
Arizona,2002,"Combined Heat and Power, Electric Power",1153078.0
Arizona,2002,"Combined Heat and Power, Industrial Power",295840.0
Arizona,2002,"Electric Generators, Electric Utilities",81710061.0
Arizona,2002,"Electric Generators, Independent Power Producers",10954287.0
Arizona,2002,Total Electric Power Industry,94131663.0
Arizona,2003,"Combined Heat and Power, Commercial Power",17434.0
Arizona,2003,"Combined Heat and Power, Electric Power",1823206.0
Arizona,2003,"Combined Heat and Power, Industrial Power",356186.0
Arizona,2003,"Electric Generators, Electric Utilities",80348245.0
Arizona,2003,"Electric Generators, Independent Power Producers",11851147.0
Arizona,2003,Total Electric Power Industry,94396218.0
Arizona,2004,"Combined Heat and Power, Commercial Power",51264.0
Arizona,2004,"Combined Heat and Power, Electric Power",1873640.0
Arizona,2004,"Combined Heat and Power, Industrial Power",396638.0
Arizona,2004,"Electric Generators, Electric Utilities",81351520.0
Arizona,2004,"Electric Generators, Independent Power Producers",20891079.0
Arizona,2004,Total Electric Power Industry,104564142.0
Arizona,2005,"Combined Heat and Power, Commercial Power",71837.0
Arizona,2005,"Combined Heat and Power, Electric Power",1688843.0
Arizona,2005,"Combined Heat and Power, Industrial Power",412547.0
Arizona,2005,"Electric Generators, Electric Utilities",82914965.0
Arizona,2005,"Electric Generators, Independent Power Producers",16390467.0
Arizona,2005,Total Electric Power Industry,101478656.0
Arizona,2006,"Combined Heat and Power, Commercial Power",72208.0
Arizona,2006,"Combined Heat and Power, Electric Power",1959088.0
Arizona,2006,"Combined Heat and Power, Industrial Power",388733.0
Arizona,2006,"Electric Generators, Electric Utilities",84355976.0
Arizona,2006,"Electric Generators, Independent Power Producers",17616521.0
Arizona,2006,Total Electric Power Industry,104392530.0
Arizona,2007,"Combined Heat and Power, Commercial Power",70599.0
Arizona,2007,"Combined Heat and Power, Electric Power",1853068.0
Arizona,2007,"Combined Heat and Power, Industrial Power",382366.0
Arizona,2007,"Electric Generators, Electric Utilities",88825574.0
Arizona,2007,"Electric Generators, Independent Power Producers",22209365.0
Arizona,2007,Total Electric Power Industry,113340970.0
Arizona,2008,"Combined Heat and Power, Commercial Power",69504.0
Arizona,2008,"Combined Heat and Power, Electric Power",370153.0
Arizona,2008,"Combined Heat and Power, Industrial Power",349910.0
Arizona,2008,"Electric Generators, Electric Utilities",94452931.0
Arizona,2008,"Electric Generators, Independent Power Producers",24216673.0
Arizona,2008,Total Electric Power Industry,119459173.0
Arizona,2009,"Combined Heat and Power, Commercial Power",71842.0
Arizona,2009,"Combined Heat and Power, Electric Power",301143.0
Arizona,2009,"Combined Heat and Power, Industrial Power",244802.0
Arizona,2009,"Electric Generators, Electric Utilities",89640193.0
Arizona,2009,"Electric Generators, Independent Power Producers",21713270.0
Arizona,2009,Total Electric Power Industry,111971249.0
Arizona,2010,"Combined Heat and Power, Commercial Power",72359.0
Arizona,2010,"Combined Heat and Power, Electric Power",187908.0
Arizona,2010,"Combined Heat and Power, Industrial Power",304161.0
Arizona,2010,"Electric Generators, Electric Utilities",91232663.0
Arizona,2010,"Electric Generators, Independent Power Producers",19953867.0
Arizona,2010,Total Electric Power Industry,111750959.0
Arizona,2011,"Combined Heat and Power, Commercial Power",68293.34
Arizona,2011,"Combined Heat and Power, Electric Power",82838.02
Arizona,2011,"Combined Heat and Power, Industrial Power",296156.52
Arizona,2011,"Electric Generators, Electric Utilities",94061752.01
Arizona,2011,"Electric Generators, Independent Power Producers",13616317.030000001
Arizona,2011,Total Electric Power Industry,108125356.9
Arizona,2012,"Combined Heat and Power, Commercial Power",120974.08
Arizona,2012,"Combined Heat and Power, Electric Power",83912.0
Arizona,2012,"Combined Heat and Power, Industrial Power",192852.18
Arizona,2012,"Electric Generators, Electric Utilities",92799750.02
Arizona,2012,"Electric Generators, Independent Power Producers",17707505.33
Arizona,2012,Total Electric Power Industry,110904993.59
Arizona,2013,"Combined Heat and Power, Commercial Power",157441.77
Arizona,2013,"Combined Heat and Power, Electric Power",191953.0
Arizona,2013,"Electric Generators, Electric Utilities",92740581.55
Arizona,2013,"Electric Generators, Independent Power Producers",20236009.81
Arizona,2013,Total Electric Power Industry,113325986.12
Arizona,2014,"Combined Heat and Power, Commercial Power",150780.82
Arizona,2014,"Combined Heat and Power, Electric Power",117465.98999999999
Arizona,2014,"Electric Generators, Electric Utilities",93162875.74000001
Arizona,2014,"Electric Generators, Independent Power Producers",18948153.51
Arizona,2014,Total Electric Power Industry,112379276.02
Arizona,2015,"Combined Heat and Power, Commercial Power",151448.0
Arizona,2015,"Combined Heat and Power, Electric Power",27171.0
Arizona,2015,"Electric Generators, Electric Utilities",94379325.0
Arizona,2015,"Electric Generators, Independent Power Producers",18584105.0
Arizona,2015,Total Electric Power Industry,113142048.0
Arizona,2016,"Combined Heat and Power, Commercial Power",165193.0
Arizona,2016,"Combined Heat and Power, Electric Power",11206.0
Arizona,2016,"Electric Generators, Electric Utilities",89821939.0
Arizona,2016,"Electric Generators, Independent Power Producers",18765111.0
Arizona,2016,Total Electric Power Industry,108763451.0
Arizona,2017,"Combined Heat and Power, Commercial Power",166143.0
Arizona,2017,"Combined Heat and Power, Electric Power",13363.0
Arizona,2017,"Electric Generators, Electric Utilities",91623405.0
Arizona,2017,"Electric Generators, Independent Power Producers",14048854.0
Arizona,2017,Total Electric Power Industry,105851765.0
Arizona,2018,"Combined Heat and Power, Commercial Power",153732.0
Arizona,2018,"Combined Heat and Power, Electric Power",41296.0
Arizona,2018,"Electric Generators, Electric Utilities",98448117.0
Arizona,2018,"Electric Generators, Independent Power Producers",13282001.0
Arizona,2018,Total Electric Power Industry,111925143.0
Arizona,2019,"Combined Heat and Power, Commercial Power",152323.0
Arizona,2019,"Combined Heat and Power, Electric Power",59620.0
Arizona,2019,"Electric Generators, Electric Utilities",96645475.0
Arizona,2019,"Electric Generators, Independent Power Producers",16694569.0
Arizona,2019,Total Electric Power Industry,113551988.0
Arizona,2020,"Combined Heat and Power, Commercial Power",148740.0
Arizona,2020,"Combined Heat and Power, Electric Power",108528.0
Arizona,2020,"Electric Generators, Electric Utilities",91617412.0
Arizona,2020,"Electric Generators, Independent Power Producers",17430377.0
Arizona,2020,Total Electric Power Industry,109305057.0
Arizona,2021,"Combined Heat and Power, Commercial Power",154108.0
Arizona,2021,"Combined Heat and Power, Electric Power",52607.0
Arizona,2021,"Electric Generators, Electric Utilities",86348455.0
Arizona,2021,"Electric Generators, Independent Power Producers",22053365.0
Arizona,2021,Total Electric Power Industry,108608533.0
Arizona,2022,"Combined Heat and Power, Commercial Power",61432.0
Arizona,2022,"Combined Heat and Power, Electric Power",1088.0
Arizona,2022,"Electric Generators, Electric Utilities",29986130.0
Arizona,2022,"Electric Generators, Independent Power Producers",7950047.0
Arizona,2022,Total Electric Power Industry,37998697.0
Arkansas,2001,"Combined Heat and Power, Commercial Power",8608.0
Arkansas,2001,"Combined Heat and Power, Electric Power",538783.0
Arkansas,2001,"Combined Heat and Power, Industrial Power",1916481.0
Arkansas,2001,"Electric Generators, Electric Utilities",44728134.0
Arkansas,2001,"Electric Generators, Independent Power Producers",30.0
Arkansas,2001,Total Electric Power Industry,47192036.0
Arkansas,2002,"Combined Heat and Power, Commercial Power",7936.0
Arkansas,2002,"Combined Heat and Power, Electric Power",1304071.0
Arkansas,2002,"Combined Heat and Power, Industrial Power",2178947.0
Arkansas,2002,"Electric Generators, Electric Utilities",42873362.0
Arkansas,2002,"Electric Generators, Independent Power Producers",1247325.0
Arkansas,2002,Total Electric Power Industry,47611641.0
Arkansas,2003,"Combined Heat and Power, Commercial Power",7361.0
Arkansas,2003,"Combined Heat and Power, Electric Power",1549513.0
Arkansas,2003,"Combined Heat and Power, Industrial Power",2177321.0
Arkansas,2003,"Electric Generators, Electric Utilities",41636513.0
Arkansas,2003,"Electric Generators, Independent Power Producers",5030392.0
Arkansas,2003,Total Electric Power Industry,50401100.0
Arkansas,2004,"Combined Heat and Power, Commercial Power",4488.0
Arkansas,2004,"Combined Heat and Power, Electric Power",1435953.0
Arkansas,2004,"Combined Heat and Power, Industrial Power",2227770.0
Arkansas,2004,"Electric Generators, Electric Utilities",45055455.0
Arkansas,2004,"Electric Generators, Independent Power Producers",3203970.0
Arkansas,2004,Total Electric Power Industry,51927632.0
Arkansas,2005,"Combined Heat and Power, Commercial Power",4242.0
Arkansas,2005,"Combined Heat and Power, Electric Power",1214876.0
Arkansas,2005,"Combined Heat and Power, Industrial Power",2033113.0
Arkansas,2005,"Electric Generators, Electric Utilities",40545221.0
Arkansas,2005,"Electric Generators, Independent Power Producers",3997056.0
Arkansas,2005,Total Electric Power Industry,47794510.0
Arkansas,2006,"Combined Heat and Power, Commercial Power",3769.0
Arkansas,2006,"Combined Heat and Power, Electric Power",1150977.0
Arkansas,2006,"Combined Heat and Power, Industrial Power",1979101.0
Arkansas,2006,"Electric Generators, Electric Utilities",42068469.0
Arkansas,2006,"Electric Generators, Independent Power Producers",6966391.0
Arkansas,2006,Total Electric Power Industry,52168702.0
Arkansas,2007,"Combined Heat and Power, Commercial Power",2135.0
Arkansas,2007,"Combined Heat and Power, Electric Power",846957.0
Arkansas,2007,"Combined Heat and Power, Industrial Power",1913082.0
Arkansas,2007,"Electric Generators, Electric Utilities",45522929.0
Arkansas,2007,"Electric Generators, Independent Power Producers",6311131.0
Arkansas,2007,Total Electric Power Industry,54596234.0
Arkansas,2008,"Combined Heat and Power, Commercial Power",3163.0
Arkansas,2008,"Combined Heat and Power, Electric Power",1285899.0
Arkansas,2008,"Combined Heat and Power, Industrial Power",1941390.0
Arkansas,2008,"Electric Generators, Electric Utilities",45880231.0
Arkansas,2008,"Electric Generators, Independent Power Producers",5939844.0
Arkansas,2008,Total Electric Power Industry,55050527.0
Arkansas,2009,"Combined Heat and Power, Commercial Power",2531.0
Arkansas,2009,"Combined Heat and Power, Electric Power",1361416.0
Arkansas,2009,"Combined Heat and Power, Industrial Power",1884481.0
Arkansas,2009,"Electric Generators, Electric Utilities",45423149.0
Arkansas,2009,"Electric Generators, Independent Power Producers",8786161.0
Arkansas,2009,Total Electric Power Industry,57457737.0
Arkansas,2010,"Combined Heat and Power, Commercial Power",5603.0
Arkansas,2010,"Combined Heat and Power, Electric Power",1220329.0
Arkansas,2010,"Combined Heat and Power, Industrial Power",1934355.0
Arkansas,2010,"Electric Generators, Electric Utilities",47108063.0
Arkansas,2010,"Electric Generators, Independent Power Producers",10731833.0
Arkansas,2010,Total Electric Power Industry,61000184.0
Arkansas,2011,"Combined Heat and Power, Commercial Power",5503.69
Arkansas,2011,"Combined Heat and Power, Electric Power",1452214.0
Arkansas,2011,"Combined Heat and Power, Industrial Power",1930278.23
Arkansas,2011,"Electric Generators, Electric Utilities",44714614.01
Arkansas,2011,"Electric Generators, Independent Power Producers",13204926.02
Arkansas,2011,Total Electric Power Industry,61307535.9
Arkansas,2012,"Combined Heat and Power, Commercial Power",6155.360000000001
Arkansas,2012,"Combined Heat and Power, Electric Power",1500191.0
Arkansas,2012,"Combined Heat and Power, Industrial Power",1942445.61
Arkansas,2012,"Electric Generators, Electric Utilities",44190458.99
Arkansas,2012,"Electric Generators, Independent Power Producers",17366427.0
Arkansas,2012,Total Electric Power Industry,65005677.99
Arkansas,2013,"Combined Heat and Power, Commercial Power",6335.71
Arkansas,2013,"Combined Heat and Power, Electric Power",1531003.0
Arkansas,2013,"Combined Heat and Power, Industrial Power",1867867.01
Arkansas,2013,"Electric Generators, Electric Utilities",46547772.46
Arkansas,2013,"Electric Generators, Independent Power Producers",10369514.0
Arkansas,2013,Total Electric Power Industry,60322492.14
Arkansas,2014,"Combined Heat and Power, Commercial Power",6241.27
Arkansas,2014,"Combined Heat and Power, Electric Power",1112285.28
Arkansas,2014,"Combined Heat and Power, Industrial Power",1849068.96
Arkansas,2014,"Electric Generators, Electric Utilities",48528863.1
Arkansas,2014,"Electric Generators, Independent Power Producers",10084532.85
Arkansas,2014,Total Electric Power Industry,61580991.46
Arkansas,2015,"Combined Heat and Power, Commercial Power",6295.0
Arkansas,2015,"Combined Heat and Power, Electric Power",1320374.0
Arkansas,2015,"Combined Heat and Power, Industrial Power",1749894.0
Arkansas,2015,"Electric Generators, Electric Utilities",39538138.0
Arkansas,2015,"Electric Generators, Independent Power Producers",12944731.0
Arkansas,2015,Total Electric Power Industry,55559428.0
Arkansas,2016,"Combined Heat and Power, Commercial Power",43313.0
Arkansas,2016,"Combined Heat and Power, Electric Power",1256411.0
Arkansas,2016,"Combined Heat and Power, Industrial Power",1594982.0
Arkansas,2016,"Electric Generators, Electric Utilities",43352106.0
Arkansas,2016,"Electric Generators, Independent Power Producers",14198250.0
Arkansas,2016,Total Electric Power Industry,60445059.0
Arkansas,2017,"Combined Heat and Power, Commercial Power",43305.0
Arkansas,2017,"Combined Heat and Power, Electric Power",1201212.0
Arkansas,2017,"Combined Heat and Power, Industrial Power",1660195.0
Arkansas,2017,"Electric Generators, Electric Utilities",54209259.0
Arkansas,2017,"Electric Generators, Independent Power Producers",3661248.0
Arkansas,2017,Total Electric Power Industry,60775216.0
Arkansas,2018,"Combined Heat and Power, Commercial Power",43586.0
Arkansas,2018,"Combined Heat and Power, Electric Power",1325509.0
Arkansas,2018,"Combined Heat and Power, Industrial Power",1641770.0
Arkansas,2018,"Electric Generators, Electric Utilities",59485258.0
Arkansas,2018,"Electric Generators, Independent Power Producers",5503231.0
Arkansas,2018,Total Electric Power Industry,67999351.0
